Income Level,Units,RHNA,Percent,Projected Units,On Track Score,Status,Jurisdiction,Geographic Level,County,Region,Cycle,Planning Period,Planning Period Start,Planning Period End,Cycle Started,Snapshot Date,Most Recent,Total Days,Elapsed Days,Percent Elapsed,Tiers Met,Tiers With Goal,Overall Progress,Overall On Track Score,Overall Category,Source Last Updated
Total,707,1492,0.4738605898123324,707.0,0.4738605898123324,Behind,Alhambra,City,Los Angeles,Los Angeles (Regional),5,10/15/2013 - 10/15/2021,2013-10-15,2021-10-15,True,2026-07-15,True,2922,4656,1.593429158110883,1,4,0.2580711496729629,0.2580711496729629,Behind,2026-07-15 12:00:00
Very Low,1,380,0.0,1.0,0.002631578947368421,Behind,Alhambra,City,Los Angeles,Los Angeles (Regional),5,10/15/2013 - 10/15/2021,2013-10-15,2021-10-15,True,2026-07-15,True,2922,4656,1.593429158110883,1,4,0.2580711496729629,0.2580711496729629,Behind,2026-07-15 12:00:00
Above Moderate,636,2936,0.22,1071.7370242214533,0.3650330463969528,Far Off Track,Alhambra,City,Los Angeles,Los Angeles (Regional),6,10/15/2021 - 10/15/2029,2021-10-15,2029-10-15,True,2026-07-15,True,2922,1734,0.5934291581108829,0,4,0.0636205543946862,0.10720833906647811,Far Off Track,2026-07-15 12:00:00
Low,26,1036,0.03,43.813148788927336,0.04229068415919627,Far Off Track,Alhambra,City,Los Angeles,Los Angeles (Regional),6,10/15/2021 - 10/15/2029,2021-10-15,2029-10-15,True,2026-07-15,True,2922,1734,0.5934291581108829,0,4,0.0636205543946862,0.10720833906647811,Far Off Track,2026-07-15 12:00:00
Moderate,1,1079,0.0,1.685121107266436,0.001561743380228393,Far Off Track,Alhambra,City,Los Angeles,Los Angeles (Regional),6,10/15/2021 - 10/15/2029,2021-10-15,2029-10-15,True,2026-07-15,True,2922,1734,0.5934291581108829,0,4,0.0636205543946862,0.10720833906647811,Far Off Track,2026-07-15 12:00:00
Total,684,6825,0.10021978021978022,1152.6228373702422,0.1688824670139549,Far Off Track,Alhambra,City,Los Angeles,Los Angeles (Regional),6,10/15/2021 - 10/15/2029,2021-10-15,2029-10-15,True,2026-07-15,True,2922,1734,0.5934291581108829,0,4,0.0636205543946862,0.10720833906647811,Far Off Track,2026-07-15 12:00:00
Very Low,21,1774,0.01,35.38754325259516,0.019947882329535038,Far Off Track,Alhambra,City,Los Angeles,Los Angeles (Regional),6,10/15/2021 - 10/15/2029,2021-10-15,2029-10-15,True,2026-07-15,True,2922,1734,0.5934291581108829,0,4,0.0636205543946862,0.10720833906647811,Far Off Track,2026-07-15 12:00:00
Above Moderate,0,16,0.0,0.0,0.0,Behind,Aliso Viejo,City,Orange,Los Angeles (Regional),5,10/15/2013 - 10/15/2021,2013-10-15,2021-10-15,True,2026-07-15,True,2922,4656,1.593429158110883,3,4,0.75,0.75,Behind,2026-07-15 12:00:00
Low,335,7,47.86,335.0,47.857142857142854,Met,Aliso Viejo,City,Orange,Los Angeles (Regional),5,10/15/2013 - 10/15/2021,2013-10-15,2021-10-15,True,2026-07-15,True,2922,4656,1.593429158110883,3,4,0.75,0.75,Behind,2026-07-15 12:00:00
Moderate,844,7,120.57,844.0,120.57142857142857,Met,Aliso Viejo,City,Orange,Los Angeles (Regional),5,10/15/2013 - 10/15/2021,2013-10-15,2021-10-15,True,2026-07-15,True,2922,4656,1.593429158110883,3,4,0.75,0.75,Behind,2026-07-15 12:00:00
