Geographic Level,Location,Date,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More
Metro,Santa Cruz,2010-05,8,8,0,0,0
Metro,Santa Rosa,2010-05,30,30,0,0,0
Metro,Stockton,2010-05,60,60,0,0,0
Metro,Vallejo,2010-05,20,20,0,0,0
Metro,Ventura,2010-05,28,23,0,0,5
Metro,Visalia,2010-05,78,76,2,0,0
Metro,Yuba City,2010-05,5,5,0,0,0
State,Alabama,2010-05,1057,605,2,3,447
State,Alaska,2010-05,157,123,2,12,20
State,Arizona,2010-05,975,924,0,20,31
State,Arkansas,2010-05,597,399,30,0,168
State,California,2010-05,3147,2020,62,57,1008
State,Colorado,2010-05,811,758,30,10,13
State,Connecticut,2010-05,256,222,4,10,20
State,Delaware,2010-05,233,211,12,0,10
State,Florida,2010-05,2964,2671,14,19,260
State,Georgia,2010-05,1202,1127,2,9,64
State,Hawaii,2010-05,456,197,4,0,255
State,Idaho,2010-05,418,371,4,0,43
State,Illinois,2010-05,1388,824,58,36,470
State,Indiana,2010-05,1115,966,18,7,124
State,Iowa,2010-05,681,546,26,48,61
State,Kansas,2010-05,393,324,28,4,37
State,Kentucky,2010-05,531,504,12,0,15
State,Louisiana,2010-05,922,868,24,0,30
State,Maine,2010-05,392,359,2,0,31
State,Maryland,2010-05,1493,813,24,3,653
State,Massachusetts,2010-05,526,440,16,7,63
State,Michigan,2010-05,760,687,14,44,15
State,Minnesota,2010-05,1263,700,2,30,531
State,Mississippi,2010-05,474,347,6,40,81
State,Missouri,2010-05,663,450,34,60,119
State,Montana,2010-05,212,148,2,19,43
State,Nebraska,2010-05,412,371,20,10,11
State,Nevada,2010-05,501,481,2,18,0
State,New Hampshire,2010-05,226,206,8,7,5
State,New Jersey,2010-05,898,619,28,44,207
State,New Mexico,2010-05,479,370,0,3,106
State,New York,2010-05,1617,993,104,32,488
State,North Carolina,2010-05,3028,2364,24,45,595
State,North Dakota,2010-05,314,289,2,0,23
State,Ohio,2010-05,1067,950,14,23,80
State,Oklahoma,2010-05,765,528,4,0,233
State,Oregon,2010-05,605,543,8,0,54
State,Pennsylvania,2010-05,1779,1452,22,37,268
State,Rhode Island,2010-05,70,67,0,3,0
State,South Carolina,2010-05,1250,1164,6,0,80
State,South Dakota,2010-05,300,206,2,28,64
State,Tennessee,2010-05,1603,1407,4,15,177
State,Texas,2010-05,7631,5992,22,13,1604
State,Utah,2010-05,862,711,4,14,133
State,Vermont,2010-05,137,116,2,3,16
State,Virginia,2010-05,1647,1388,32,19,208
State,Washington,2010-05,1383,1154,10,17,202
State,West Virginia,2010-05,104,99,0,0,5
State,Wisconsin,2010-05,1091,914,42,21,114
State,Wyoming,2010-05,160,107,0,0,53
Metro,Bakersfield,2010-06,145,132,2,0,11
Metro,Chico,2010-06,40,12,0,28,0
Metro,El Centro,2010-06,10,10,0,0,0
Metro,Fresno,2010-06,160,155,2,3,0
Metro,Hanford,2010-06,11,11,0,0,0
Metro,Inland Empire,2010-06,917,592,0,20,305
Metro,Los Angeles,2010-06,1018,395,40,55,528
Metro,Madera,2010-06,22,22,0,0,0
Metro,Merced,2010-06,1,1,0,0,0
Metro,Modesto,2010-06,12,12,0,0,0
Metro,Napa,2010-06,10,10,0,0,0
Metro,Redding,2010-06,22,22,0,0,0
Metro,Sacramento,2010-06,317,306,2,4,5
Metro,Salinas,2010-06,25,25,0,0,0
Metro,San Diego,2010-06,559,346,10,11,192
Metro,San Francisco,2010-06,528,183,14,12,319
Metro,San Jose,2010-06,222,87,0,0,135
Metro,San Luis Obispo,2010-06,33,24,0,3,6
Metro,Santa Barbara,2010-06,16,16,0,0,0
Metro,Santa Cruz,2010-06,9,9,0,0,0
Metro,Santa Rosa,2010-06,18,18,0,0,0
Metro,Stockton,2010-06,110,110,0,0,0
Metro,Vallejo,2010-06,51,51,0,0,0
Metro,Ventura,2010-06,36,17,0,3,16
Metro,Visalia,2010-06,46,46,0,0,0
Metro,Yuba City,2010-06,14,14,0,0,0
State,Alabama,2010-06,759,721,8,3,27
State,Alaska,2010-06,109,71,8,4,26
State,Arizona,2010-06,1095,987,36,0,72
State,Arkansas,2010-06,1152,422,38,4,688
State,California,2010-06,4467,2741,70,139,1517
State,Colorado,2010-06,944,855,6,13,70
State,Connecticut,2010-06,247,196,6,3,42
State,Delaware,2010-06,294,249,12,0,33
State,Florida,2010-06,3289,2646,30,35,578
State,Georgia,2010-06,1554,1293,2,19,240
State,Hawaii,2010-06,165,160,0,0,5
State,Idaho,2010-06,553,436,2,6,109
State,Illinois,2010-06,1131,799,12,33,287
State,Indiana,2010-06,1133,1016,92,8,17
State,Iowa,2010-06,795,700,6,40,49
State,Kansas,2010-06,645,581,28,3,33
State,Kentucky,2010-06,593,453,6,40,94
State,Louisiana,2010-06,894,835,14,0,45
State,Maine,2010-06,342,312,4,3,23
State,Maryland,2010-06,1074,736,10,0,328
State,Massachusetts,2010-06,1351,683,26,89,553
State,Michigan,2010-06,951,772,4,16,159
State,Minnesota,2010-06,778,689,10,11,68
State,Mississippi,2010-06,445,392,14,3,36
State,Missouri,2010-06,727,558,30,55,84
State,Montana,2010-06,196,134,6,8,48
State,Nebraska,2010-06,493,437,2,8,46
State,Nevada,2010-06,751,501,0,0,250
State,New Hampshire,2010-06,350,268,20,26,36
State,New Jersey,2010-06,1289,692,56,15,526
State,New Mexico,2010-06,442,424,0,0,18
State,New York,2010-06,3482,958,124,145,2255
State,North Carolina,2010-06,3323,2381,6,9,927
State,North Dakota,2010-06,300,216,0,0,84
State,Ohio,2010-06,1175,1058,4,53,60
State,Oklahoma,2010-06,719,675,8,0,36
State,Oregon,2010-06,883,484,22,24,353
State,Pennsylvania,2010-06,1981,1702,38,37,204
State,Rhode Island,2010-06,109,94,10,0,5
State,South Carolina,2010-06,1279,1182,4,0,93
State,South Dakota,2010-06,315,292,4,4,15
State,Tennessee,2010-06,1617,1062,14,4,537
State,Texas,2010-06,8184,6225,60,25,1874
State,Utah,2010-06,644,551,18,21,54
State,Vermont,2010-06,90,71,0,3,16
State,Virginia,2010-06,1967,1594,4,8,361
State,Washington,2010-06,2145,1525,30,39,551
State,West Virginia,2010-06,260,208,2,0,50
State,Wisconsin,2010-06,1172,823,32,4,313
State,Wyoming,2010-06,209,148,2,0,59
Metro,Bakersfield,2010-07,146,137,2,0,7
Metro,Chico,2010-07,104,20,0,20,64
Metro,El Centro,2010-07,2,2,0,0,0
Metro,Fresno,2010-07,137,129,0,3,5
Metro,Hanford,2010-07,11,11,0,0,0
Metro,Inland Empire,2010-07,575,466,0,0,109
Metro,Los Angeles,2010-07,1053,333,24,32,664
Metro,Madera,2010-07,25,19,0,0,6
Metro,Merced,2010-07,7,7,0,0,0
Metro,Modesto,2010-07,14,14,0,0,0
Metro,Napa,2010-07,9,9,0,0,0
Metro,Redding,2010-07,10,10,0,0,0
Metro,Sacramento,2010-07,224,144,0,6,74
Metro,Salinas,2010-07,16,16,0,0,0
Metro,San Diego,2010-07,293,163,0,8,122
Metro,San Francisco,2010-07,253,175,4,12,62
Metro,San Jose,2010-07,365,124,0,0,241
Metro,San Luis Obispo,2010-07,151,18,0,0,133
Metro,Santa Barbara,2010-07,31,31,0,0,0
Metro,Santa Cruz,2010-07,8,8,0,0,0
Metro,Santa Rosa,2010-07,16,16,0,0,0
