Year,Geographic Level,Location,Race/Ethnicity,Tenure,Number Over 30%,Number Over 50%,Share Over 30%,Share Over 50%
2012,County,Del Norte,White,Owned With Mortgage,6359,3005,0.386330498,0.182563791
2012,County,Del Norte,White,Owned Without Mortgage,1623,319,0.142206256,0.027950583
2012,County,Del Norte,White,Rented,6204,3194,0.508274619,0.261674586
2012,County,Del Norte,White,Total,14186,6518,0.353950947,0.162628808
2012,County,El Dorado,AIAN,Owned,0,0,0.0,0.0
2012,County,El Dorado,AIAN,Owned Without Mortgage,0,0,0.0,0.0
2012,County,El Dorado,AIAN,Rented,0,0,0.0,0.0
2012,County,El Dorado,AIAN,Total,0,0,0.0,0.0
2012,County,El Dorado,All,Owned,17484,7037,0.36760439,0.147954249
2012,County,El Dorado,All,Owned With Mortgage,15301,6288,0.44289105,0.182007642
2012,County,El Dorado,All,Owned Without Mortgage,2183,749,0.167742431,0.057553404
2012,County,El Dorado,All,Rented,9260,5360,0.561995509,0.325301936
2012,County,El Dorado,All,Total,26744,12397,0.417620513,0.193585159
2012,County,El Dorado,Asian,Owned,733,199,0.682495345,0.185288641
2012,County,El Dorado,Asian,Owned With Mortgage,733,199,0.722167488,0.196059113
2012,County,El Dorado,Asian,Owned Without Mortgage,0,0,0.0,0.0
2012,County,El Dorado,Asian,Rented,102,102,0.159624413,0.159624413
2012,County,El Dorado,Asian,Total,835,301,0.48744892,0.17571512
2012,County,El Dorado,Black,Owned,96,96,0.417391304,0.417391304
2012,County,El Dorado,Black,Owned With Mortgage,96,96,0.417391304,0.417391304
2012,County,El Dorado,Black,Total,96,96,0.417391304,0.417391304
2012,County,El Dorado,Hispanic,Owned,664,159,0.414481898,0.0992509359999999
2012,County,El Dorado,Hispanic,Owned With Mortgage,526,136,0.481244282,0.124428179
2012,County,El Dorado,Hispanic,Owned Without Mortgage,138,23,0.271119843,0.04518664
2012,County,El Dorado,Hispanic,Rented,1808,922,0.690603514,0.352177235
2012,County,El Dorado,Hispanic,Total,2472,1081,0.585781991,0.256161137
2012,County,El Dorado,Multiracial,Owned,0,0,0.0,0.0
2012,County,El Dorado,Multiracial,Owned With Mortgage,0,0,0.0,0.0
2012,County,El Dorado,Multiracial,Total,0,0,0.0,0.0
2012,County,El Dorado,Other,Owned,0,0,0.0,0.0
2012,County,El Dorado,Other,Owned With Mortgage,0,0,0.0,0.0
2012,County,El Dorado,Other,Total,0,0,0.0,0.0
2012,County,El Dorado,White,Owned,15991,6583,0.365784477,0.150582153
2012,County,El Dorado,White,Owned With Mortgage,13946,5857,0.442575609,0.1858716
2012,County,El Dorado,White,Owned Without Mortgage,2045,726,0.167540554,0.059478945
2012,County,El Dorado,White,Rented,7350,4336,0.556312443,0.328186497
2012,County,El Dorado,White,Total,23341,10919,0.410001932,0.191800313
2012,County,Fresno,AIAN,Owned,124,124,0.4052287581699346,0.4052287581699346
2012,County,Fresno,AIAN,Owned With Mortgage,124,124,0.6739130434782609,0.6739130434782609
2012,County,Fresno,AIAN,Owned Without Mortgage,0,0,0.0,0.0
2012,County,Fresno,AIAN,Rented,612,114,0.8292682925271003,0.1544715447425474
2012,County,Fresno,AIAN,Total,736,238,0.7049808430191572,0.2279693486781609
2012,County,Fresno,All,Owned,52676,21845,0.348015671316746,0.1443238349391058
2012,County,Fresno,All,Owned With Mortgage,46615,18964,0.4264711263376729,0.173497767752214
2012,County,Fresno,All,Owned Without Mortgage,6061,2881,0.1441139405942887,0.068502270851083
2012,County,Fresno,All,Rented,78735,42350,0.6008608255691446,0.3231911600157742
2012,County,Fresno,All,Total,131411,64195,0.4653396978442128,0.2273210151538608
2012,County,Fresno,Asian,Owned,4387,1618,0.3834790212304196,0.1414335663954545
2012,County,Fresno,Asian,Owned With Mortgage,4081,1556,0.468488118520721,0.1786247273264837
2012,County,Fresno,Asian,Owned Without Mortgage,306,62,0.1121289849523635,0.0227189447050201
2012,County,Fresno,Asian,Rented,6755,3037,0.6258106354252363,0.2813600148857699
2012,County,Fresno,Asian,Total,11142,4655,0.5011244040966988,0.2093640368945758
