Year,Geographic Level,Location,Race/Ethnicity,Tenure,Number Over 30%,Number Over 50%,Share Over 30%,Share Over 50%
2024,County,Contra Costa,White,Owned With Mortgage,36780,15701,0.37560890922274076,0.1603435422432369
2024,County,Contra Costa,White,Owned Without Mortgage,8660,4351,0.18105412807593402,0.09096610984507955
2024,County,Contra Costa,White,Rented,22992,11908,0.5180245133381399,0.268294881038212
2024,County,Contra Costa,White,Total,68432,31960,0.3599108006900324,0.16809020911347666
2024,County,Del Norte,AIAN,Owned,64,0,0.059813084112149535,0.0
2024,County,Del Norte,AIAN,Owned With Mortgage,48,0,0.08376963350785341,0.0
2024,County,Del Norte,AIAN,Owned Without Mortgage,16,0,0.03219315895372234,0.0
2024,County,Del Norte,AIAN,Rented,187,123,0.19278350515463918,0.1268041237113402
2024,County,Del Norte,AIAN,Total,251,123,0.1230392156862745,0.060294117647058824
2024,County,Del Norte,All,Owned,7785,3735,0.22842639593908629,0.10959185469909921
2024,County,Del Norte,All,Owned With Mortgage,5269,2360,0.3005361624458134,0.13461099703399498
2024,County,Del Norte,All,Owned Without Mortgage,2516,1375,0.1520333554897577,0.08308659133482385
2024,County,Del Norte,All,Rented,6602,3161,0.428478712357217,0.20515316718587748
2024,County,Del Norte,All,Total,14387,6896,0.2907110671058215,0.13934409666794642
2024,County,Del Norte,Asian,Owned,239,105,0.3551263001485884,0.15601783060921248
2024,County,Del Norte,Asian,Owned With Mortgage,134,0,0.29515418502202645,0.0
2024,County,Del Norte,Asian,Owned Without Mortgage,105,105,0.4794520547945205,0.4794520547945205
2024,County,Del Norte,Asian,Rented,41,8,0.803921568627451,0.1568627450980392
2024,County,Del Norte,Asian,Total,280,113,0.3867403314917127,0.15607734806629833
2024,County,Del Norte,Hispanic,Owned,345,92,0.09896729776247848,0.026391279403327597
2024,County,Del Norte,Hispanic,Owned With Mortgage,345,92,0.14315352697095435,0.038174273858921165
2024,County,Del Norte,Hispanic,Owned Without Mortgage,0,0,0.0,0.0
2024,County,Del Norte,Hispanic,Rented,794,344,0.3065637065637066,0.13281853281853281
2024,County,Del Norte,Hispanic,Total,1139,436,0.18745885450954575,0.07175773535220539
2024,County,Del Norte,Multiracial,Owned,303,130,0.09274563820018365,0.039791857973676154
2024,County,Del Norte,Multiracial,Owned With Mortgage,209,45,0.10806618407445709,0.02326783867631851
2024,County,Del Norte,Multiracial,Owned Without Mortgage,94,85,0.07051762940735183,0.06376594148537135
